global_step_index,episode_index,episode_id,task_name,instruction,t_in_episode,picked_left_key,picked_wrist_key,left_img_path,wrist_img_path,samples_per_state,actions_shape,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,std_0,std_1,std_2,std_3,std_4,std_5,std_6,std_7
14262,49,ep000049,b'',b'',0,exterior_image_1_left,wrist_image_left,../droid_images/ep000049/state_000000_left.jpg,../droid_images/ep000049/state_000000_wrist.jpg,50,"(50, 15, 8)",0.09457603848974754,0.22198107042713877,-0.07943452172076684,0.293205726925561,0.3049678885065827,-0.13074196055194218,-0.23389401982563454,0.03108080646880424,0.009062550887048132,0.02647755704927021,0.009205224816544528,0.02005718651138431,0.0180945378727047,0.04777301130477694,0.030651404889609324,0.008829569945414372
14263,49,ep000049,b'',b'',1,exterior_image_1_left,wrist_image_left,../droid_images/ep000049/state_000001_left.jpg,../droid_images/ep000049/state_000001_wrist.jpg,50,"(50, 15, 8)",0.09655865490810518,0.2113438799471503,-0.0896519245073582,0.2716294050852744,0.31874598797884585,-0.11502390783453069,-0.2772385472510985,0.03099505336717415,0.010790031916034996,0.034870189284955784,0.006443450317411452,0.0327686441458657,0.023900530579320567,0.02589403725853485,0.022780977313942116,0.012499282924675434
14264,49,ep000049,b'',b'',2,exterior_image_1_left,wrist_image_left,../droid_images/ep000049/state_000002_left.jpg,../droid_images/ep000049/state_000002_wrist.jpg,50,"(50, 15, 8)",0.08828008570125259,0.2144996656642321,-0.0773713383011872,0.28491527165317887,0.30073086351936335,-0.11872928610498089,-0.2430195163433596,0.042263442301609035,0.008825138413675254,0.024961274112753038,0.010434582797283582,0.022063027163761524,0.028215770277650362,0.013711241677746558,0.021305833549934573,0.017293261089339727
14265,49,ep000049,b'',b'',3,exterior_image_1_left,wrist_image_left,../droid_images/ep000049/state_000003_left.jpg,../droid_images/ep000049/state_000003_wrist.jpg,50,"(50, 15, 8)",0.09244107398725748,0.22233139845692523,-0.08072273030471089,0.2812766200422867,0.31515527591702625,-0.10455056382688578,-0.2585871024547035,0.03022748663613867,0.012455644533971622,0.02060524937683609,0.01211120008008866,0.02129237089950669,0.014272728673241744,0.013178226269801462,0.020596104004163316,0.013407083270673515
14266,49,ep000049,b'',b'',4,exterior_image_1_left,wrist_image_left,../droid_images/ep000049/state_000004_left.jpg,../droid_images/ep000049/state_000004_wrist.jpg,50,"(50, 15, 8)",0.09302464230057124,0.21068400412908708,-0.0672493527417354,0.27823842939175836,0.29020206261751835,-0.12816829382034406,-0.23545093957038846,0.024283099137116793,0.011620380288136082,0.01666898643079265,0.00831100697461377,0.015338199260664697,0.022075939734681332,0.030094708171968992,0.023299875192588256,0.007956947521869293
14267,49,ep000049,b'',b'',5,exterior_image_1_left,wrist_image_left,../droid_images/ep000049/state_000005_left.jpg,../droid_images/ep000049/state_000005_wrist.jpg,50,"(50, 15, 8)",0.09102868676047926,0.2423111552742706,-0.07182177504266211,0.31809700583565254,0.29917020039846226,-0.16376143539659924,-0.21033948645133055,0.041376455645118354,0.005065697445927959,0.017321752885379987,0.0074289707902667305,0.020432541250483594,0.009009986296570238,0.019641814670738,0.019182461087907776,0.01451535757918005
14268,49,ep000049,b'',b'',6,exterior_image_1_left,wrist_image_left,../droid_images/ep000049/state_000006_left.jpg,../droid_images/ep000049/state_000006_wrist.jpg,50,"(50, 15, 8)",0.0956093045381757,0.22463657249604518,-0.0736600220396316,0.30307748002573887,0.31013632306712346,-0.1631130399980045,-0.2574765489328398,0.021515279970714212,0.019077074926313976,0.01892455687567951,0.009593200260264206,0.02373227091402304,0.03297297055163526,0.04031903981238319,0.03254209872015487,0.00887477994048774
14269,49,ep000049,b'',b'',7,exterior_image_1_left,wrist_image_left,../droid_images/ep000049/state_000007_left.jpg,../droid_images/ep000049/state_000007_wrist.jpg,50,"(50, 15, 8)",0.09368509864129261,0.22784172642313763,-0.06742214243432211,0.31004949370324036,0.3004082362608053,-0.16919780413083668,-0.2314686507438308,0.028479507099370836,0.010030146797933431,0.018541062378837344,0.014663183709545134,0.020037141410992318,0.03457763574836407,0.017153178760736375,0.02387815941903862,0.01442256358280165
14270,49,ep000049,b'',b'',8,exterior_image_1_left,wrist_image_left,../droid_images/ep000049/state_000008_left.jpg,../droid_images/ep000049/state_000008_wrist.jpg,50,"(50, 15, 8)",0.0898070809438881,0.21489733817259166,-0.07244369768096089,0.2872188012367482,0.28949036660267236,-0.14993613570184824,-0.20328310391289603,0.03758768715199613,0.008076848008162413,0.0234209704857975,0.008880671588914112,0.01902848922372284,0.021408594668962274,0.016011642773648242,0.016536145334324567,0.011013633677585075
14271,49,ep000049,b'',b'',9,exterior_image_1_left,wrist_image_left,../droid_images/ep000049/state_000009_left.jpg,../droid_images/ep000049/state_000009_wrist.jpg,50,"(50, 15, 8)",0.09442558913665464,0.2081593236949989,-0.08412191579681515,0.27458239432256326,0.31022407762920956,-0.1143288259930484,-0.2844956751365937,0.034883574339700706,0.012632240257832286,0.027614780356218636,0.012338701204917093,0.027372696729806262,0.01488813006146459,0.013073016916126775,0.023379538704929873,0.020670096035851314
14272,49,ep000049,b'',b'',10,exterior_image_1_left,wrist_image_left,../droid_images/ep000049/state_000010_left.jpg,../droid_images/ep000049/state_000010_wrist.jpg,50,"(50, 15, 8)",0.09149644399569419,0.2130735911619664,-0.07085321830666984,0.27946553254543127,0.3047065850660975,-0.1386094589158444,-0.22790888926943864,0.03722818430989624,0.008431020424114276,0.01715547030982654,0.005161247308300037,0.017456712088720322,0.007939351915555826,0.022554475295278133,0.027577334651538377,0.011990600539871237
